accession_version	accession	ncbi_uid	organism	definition	length	host	host_normalized	isolate	strain	clone	country	collection_date	mol_type	topology
OP378160.1	OP378160	2482564432	Chilli veinal mottle virus	Chilli veinal mottle virus isolate GZ-tobacco, complete genome	9782	Nicotiana tabacum	Nicotiana tabacum	GZ-tobacco				15-Sep-2021	genomic RNA	linear
ON838426.1	ON838426	2450650709	Chilli veinal mottle virus	Chilli veinal mottle virus clone ChiVMV-YuN/Yuxi6, complete genome	9725	Solanum nigrum	Solanum nigrum			ChiVMV-YuN/Yuxi6		Jul-2021	genomic RNA	linear
ON838425.1	ON838425	2450650707	Chilli veinal mottle virus	Chilli veinal mottle virus clone ChiVMV-YuN/Yuxi4, complete genome	9725	Solanum nigrum	Solanum nigrum			ChiVMV-YuN/Yuxi4		Jul-2021	genomic RNA	linear
ON838424.1	ON838424	2450650705	Chilli veinal mottle virus	Chilli veinal mottle virus clone ChiVMV-YuN/Yuxi5, complete genome	9745	chilli	Capsicum annuum			ChiVMV-YuN/Yuxi5		Jul-2021	genomic RNA	linear
ON838423.1	ON838423	2450650703	Chilli veinal mottle virus	Chilli veinal mottle virus clone ChiVMV-YuN/Yuxi3, complete genome	9720	chilli	Capsicum annuum			ChiVMV-YuN/Yuxi3		Jul-2021	genomic RNA	linear
PQ466185.1	PQ466185	2833698955	Chilli veinal mottle virus	Chilli veinal mottle virus isolate Di, complete genome	9739	Datura inoxia	Datura inoxia	Di				18-Jul-2023	genomic RNA	linear
PP871400.1	PP871400	2743644323	Chilli veinal mottle virus	Chilli veinal mottle virus isolate ChiVMV-LS, complete genome	9740	Nicotiana tabacum L.	Nicotiana tabacum	ChiVMV-LS				Aug-2022	genomic RNA	linear
ON168944.1	ON168944	2483664394	Chilli veinal mottle virus	Chilli veinal mottle virus isolate YNYX-D4, complete genome	9725	Capsicum annuum	Capsicum annuum	YNYX-D4				Jul-2021	genomic RNA	linear
ON168943.1	ON168943	2483664392	Chilli veinal mottle virus	Chilli veinal mottle virus isolate YNYX-D2, complete genome	9717	Capsicum annuum	Capsicum annuum	YNYX-D2				Jul-2021	genomic RNA	linear
ON168942.1	ON168942	2483664390	Chilli veinal mottle virus	Chilli veinal mottle virus isolate YNYX-D, complete genome	9725	Capsicum annuum	Capsicum annuum	YNYX-D				Jul-2021	genomic RNA	linear
OP404087.1	OP404087	2483664654	Chilli veinal mottle virus	Chilli veinal mottle virus isolate YunN, complete genome	9760	Capsicum annuum	Capsicum annuum	YunN				Jul-2021	genomic RNA	linear
MT787292.1	MT787292	2107900437	Chilli veinal mottle virus	Chilli veinal mottle virus isolate ChiVMV-Dh, complete genome	9688	chilli prepper	Capsicum annuum	ChiVMV-Dh					genomic RNA	linear
MN207122.1	MN207122	1821494783	Chilli veinal mottle virus	Chilli veinal mottle virus isolate ChiVMV-PK, complete genome	9706	Capsicum annuum	Capsicum annuum	ChiVMV-PK				17-May-2018	genomic RNA	linear
GU170808.1	GU170808	310814150	Chilli veinal mottle virus	Chilli veinal mottle virus isolate ChiVMV-Ch-War, complete genome	9702	hot pepper	Capsicum annuum	ChiVMV-Ch-War					genomic RNA	linear
GU170807.1	GU170807	310814148	Chilli veinal mottle virus	Chilli veinal mottle virus isolate ChiVMV-Ch-Jal, complete genome	9705	hot pepper	Capsicum annuum	ChiVMV-Ch-Jal					genomic RNA	linear
AM909717.1	AM909717	283468542	Chilli veinal mottle virus	Chilli veinal mottle virus complete genome, genomic RNA, isolate Korea	9710		unknown	Korea					genomic RNA	linear
PV870370.1	PV870370	3022099970	Chilli veinal mottle virus	Chilli veinal mottle virus isolate DSMZ PV-1469, complete genome	9734	Solanum lycopersicum	Solanum lycopersicum	DSMZ PV-1469					genomic RNA	linear
PQ126526.1	PQ126526	2782970626	Chilli veinal mottle virus	Chilli veinal mottle virus isolate Zunyi, complete genome	9724	Nicotiana tabacum	Nicotiana tabacum	Zunyi				14-Jul-2022	genomic RNA	linear
PP582383.1	PP582383	2710223917	Chilli veinal mottle virus	Chilli veinal mottle virus isolate AH, complete genome	9724	Capsicum	Capsicum spp.	AH				11-Oct-2022	genomic RNA	linear
OR590618.1	OR590618	2593450560	Chilli veinal mottle virus	Chilli veinal mottle virus isolate YNpe, complete genome	9738	Nicotiana tabacum	Nicotiana tabacum	YNpe				Jul-2021	genomic RNA	linear
OR347840.1	OR347840	2579530803	Chilli veinal mottle virus	Chilli veinal mottle virus isolate To, complete genome	9737	tomato	Solanum lycopersicum	To				2022	genomic RNA	linear
MZ358113.1	MZ358113	2308020952	Chilli veinal mottle virus	Chilli veinal mottle virus isolate south of Guangxi, complete genome	9719	pepper	Capsicum annuum	south of Guangxi				Jun-2018	genomic RNA	linear
OM108478.1	OM108478	2245531033	Chilli veinal mottle virus	Chilli veinal mottle virus strain Oahu2, complete genome	9713	Basella alba	Basella alba		Oahu2			May-2019	genomic RNA	linear
OK181760.1	OK181760	2148247635	Chilli veinal mottle virus	Chilli veinal mottle virus isolate DSMZ PV-0255, complete genome	9718		unknown	DSMZ PV-0255					genomic RNA	linear
MT974520.1	MT974520	1917171319	Chilli veinal mottle virus	Chilli veinal mottle virus isolate YN, complete genome	9724	Capsicum annuum L.	Capsicum annuum	YN				01-Jul-2020	genomic RNA	linear
MT782116.1	MT782116	1917171315	Chilli veinal mottle virus	Chilli veinal mottle virus isolate GX, complete genome	9722	Capsicum annuum	Capsicum annuum	GX				May-2020	genomic RNA	linear
MN508960.1	MN508960	1882578504	Chilli veinal mottle virus	Chilli veinal mottle virus isolate Chi Mv Uravakonda, complete genome	9734	hot pepper	Capsicum annuum	Chi Mv Uravakonda				22-Dec-2017	genomic RNA	linear
MN508959.1	MN508959	1882578502	Chilli veinal mottle virus	Chilli veinal mottle virus isolate chi vmv. Ta, complete genome	9737	hot pepper	Capsicum annuum	chi vmv. Ta				22-Oct-2017	genomic RNA	linear
MK405594.1	MK405594	1694421608	Chilli veinal mottle virus	Chilli veinal mottle virus isolate SichuanLuzhou, complete genome	9726	Nicotiana tabacum	Nicotiana tabacum	SichuanLuzhou				06-Aug-2018	genomic RNA	linear
NC_005778.1	NC_005778	45004654	Chilli veinal mottle virus	Chilli veinal mottle virus, complete genome	9711	Capsicum annuum	Capsicum annuum						genomic RNA	linear
KX650863.1	KX650863	1102971926	Chilli veinal mottle virus	Chilli veinal mottle virus isolate Dzh-Qyg nonfunctional PIPO and nonfunctional polyprotein genes, complete sequence	9499	Nicotiana tabacum	Nicotiana tabacum	Dzh-Qyg				19-Mar-2015	genomic RNA	linear
KU987835.1	KU987835	1015521867	Chilli veinal mottle virus	Chilli veinal mottle virus isolate GD, complete genome	9721	pepper	Capsicum annuum	GD				08-Jan-2015	genomic RNA	linear
KR296797.1	KR296797	937107252	Chilli veinal mottle virus	Chilli veinal mottle virus isolate HN, complete genome	9710	Capsicum annuum L.	Capsicum annuum	HN				07-Jun-2013	genomic RNA	linear
KC711055.1	KC711055	511774075	Chilli veinal mottle virus	Chilli veinal mottle virus isolate Yp8, complete genome	9741	Capsicum annuum	Capsicum annuum	Yp8				01-Sep-2009	genomic RNA	linear
KC711056.1	KC711056	511774077	Chilli veinal mottle virus	Chilli veinal mottle virus isolate Pp4, complete genome	9741	Capsicum chinense Jacp.	Capsicum chinense	Pp4				07-Sep-2009	genomic RNA	linear
JX088636.1	JX088636	448882376	Chilli veinal mottle virus	Chilli veinal mottle virus isolate YN-tobacco, complete genome	9739	tobacco	Nicotiana tabacum	YN-tobacco				Aug-2008	genomic RNA	linear
GQ981316.1	GQ981316	260875739	Chilli veinal mottle virus	Chilli veinal mottle virus isolate Wenchang, complete genome	9717	Capsicum chinense Jacp. cv. Yellow Lantern	Capsicum chinense	Wenchang				Nov-2008	genomic RNA	linear
AJ972878.1	AJ972878	164510722	Chilli veinal mottle virus	Chilli veinal mottle virus complete genome, genomic RNA	9708		unknown	Ca					genomic RNA	linear
AJ237843.3	AJ237843	31414492	Chilli veinal mottle virus	Chilli veinal mottle virus complete sequence, genomic RNA	9711	Capsicum annuum	Capsicum annuum						genomic RNA	linear
